id,title,score,num_comments,compound,num_keywords,has_question,computed_virality_score,trigger_keywords_found
1m6xox4,How exactly is it possible to have remote access to cameras with no cloud account?,3,5,0.8693,0,True,4.739,[]
1m6k7xb,Vichome firmware update notice,1,0,0.3612,0,True,2.722,[]
1m6aiwf,NVR to PC,1,1,-0.4218,0,True,2.156,[]
1m5tu3z,"Genuinely curious: what kind of ""technical capability"" is required to review apartment security footage?",3,33,0.9829,0,True,4.966,[]
1m5tccl,New home construction - Ring vs Eufy vs Ubiquity Unifi?,1,0,0.0,0,False,0.0,[]
1m5s064,New to cameras. Need advice,1,11,0.9817,0,True,4.963,[]
1m5o759,replacement needed for watchnet evi-1621-2T,1,0,0.0,0,False,0.0,[]
1m5mx4r,Need help identifying this security camera,34,82,-0.1395,0,True,2.721,[]
1m5lnsy,looking for cheap security camera with seperate local storage,1,0,0.6597,0,True,4.319,[]
1m5aib0,Moved into a house with a PoE camera setup. How do start I using it?,2,8,-0.2263,0,True,2.547,[]
1m5afys,New home. Is this a camera?,1,9,-0.4039,0,True,2.192,[]
1m5a9p2,WIFI Camera with connection failover,1,0,0.0,0,True,3.0,[]
1m538rr,Market Validation for new product,1,2,0.5423,0,True,3.085,[]
1m528xe,Best home security camera,4,5,0.765,0,True,3.53,[]
1m4s7cs,IWFCam - No Memory Detected,1,2,0.2663,0,True,3.533,[]
1m4rsma,Seeking suggestions for basic home wireless NVR and IP camera setup,1,5,0.9827,0,True,4.965,[]
1m4ehia,Camera System,1,10,0.128,0,True,3.256,[]
1m4c0hj,Where would a good spot for a security camera be for my garage . Condo townhouse,2,21,0.6486,0,True,3.297,[]
1m473lf,HELP Need Advice on Camera System to Keep Elderly Mom Safe,1,6,0.8381,0,True,4.676,[]
1m45k1t,Question or suggestion about AOSU cameras DOA,1,0,-0.8774,0,True,1.245,[]
1m40qvt,Which 180° panoramic PoE camera with person detection under $300?,1,10,-0.4492,0,True,2.102,[]
1m3uf1q,Yi camera. Don't buy it,10,4,0.3612,0,True,2.722,[]
1m3tuzk,Fuzzy lines on camera at night,1,7,0.8555,0,True,4.711,[]
1m3rr2a,Does anyone use this modem?,0,2,0.3265,0,True,3.653,[]
1m3m332,Eufy,1,0,0.9153,0,True,4.831,[]
1m3fnz3,best bedroom security cameras ?,1,10,0.8561,0,True,4.712,[]
1m3cyap,Installing mesh/AP in between NVR and POE switch that is connected to 4 cameras,1,4,0.7946,0,True,4.589,[]
1m2rv3p,Recomendation for DVR using Trackmix wifi.,2,0,0.0,0,False,0.0,[]
1m2rqlt,LTS camera adjustment,2,3,0.8104,0,True,4.621,[]
1m2qp35,Aosu cameras connecting to monitor.,1,0,0.0772,0,True,2.154,[]
1m2nz8s,Ring Camera hacked?!,1,0,-0.4574,0,False,-0.915,[]
1m2lkgu,Whats wrong,1,3,-0.4767,0,True,1.047,[]
1m2emco,Hiseeu,1,10,0.9306,0,True,4.861,[]
1m2dp4v,"Looking for wireless, solar, no subscription security camera",3,42,-0.5204,0,True,1.959,[]
1m2d4x8,Help document emotional abuse in Texas,3,8,-0.8819,0,True,1.236,[]
1m2a6wv,Security Camera Recommendations,1,6,-0.0,0,True,3.0,[]
1m26cbn,UNV NVR having issues with cameras extended via network,1,3,-0.8134,0,True,1.373,[]
1m20dw8,Need advice for buying a security camera for my apartment,1,1,0.34,0,False,0.68,[]
1m1tq5m,Is this setup worth it,2,0,0.7977,0,True,4.595,[]
1m1cl2i,Swann Security camera not recording,2,7,0.6249,0,True,3.25,[]
1m13v0w,"tight budget, camera system that uses google one storage",0,8,0.8977,0,True,4.795,[]
1m10qwq,DW Spectrum cloud issues,2,0,0.6408,0,True,4.282,[]
1m0oecx,Camera for catching fly tippers,7,36,-0.4215,0,True,2.157,[]
1m0ldrm,First time security camera,7,31,0.5859,0,True,3.172,[]
1m0it46,YI Home can't view clips anymore unless you have cloud... time to sent camera to the trash,8,10,0.0,0,True,2.0,[]
1m0hwfp,Camera for license plates/stalker,2,11,0.7848,0,True,4.57,[]
1m06t47,I need help my car was burned in my back yard can somone identify this camera,0,18,-0.7964,0,True,1.407,[]
1m06qql,Tech advice - non wifi camera solutions,5,5,0.942,0,True,4.884,[]
1m00jn1,How to view VicoHome camera's past alerts? Using the app is best?,1,0,0.9487,0,True,4.897,[]
1lzvrjr,Camera,3,13,-0.683,0,True,1.634,[]
